O2_rightSym	minus35cons	minus10_7A	lacOsym	0.965815341463801	2.50328849800688
O1_rightSym	minus35cons	minus10cons	lacOsym	1.78018824334692	13.9872300059942
O2_leftSym	minus35cons	minus10_12G	O1_rightSym	5.30231170254763	4.95990266901759
lacOsym	minus35_31A_32C	minus10_12A	O2_leftSym	0.917478306931529	0.576017496181938
O3_rightSym	minus35_33T	minus10cons	lacO1	1.48589223198655	3.95388127597797
lacO2	minus35_33T	minus10_12A	lacO1	1.18291829864885	0.559007685455165
lacO3	minus35cons	minus10_12A	O3_rightSym	2.47632839992179	2.09900547062225
lacOsym	minus35cons	minus10_12G	O3_leftSym	1.26943799654612	2.38102987483792
lacO1	minus35_33T	minus10_12G	O3_rightSym	1.11055671555348	0.885625000932651
O2_leftSym	minus35_30C_33T	minus10_12A	lacOsym	1.17536534730979	0.404545609788968
lacO3	minus35_30C_33T	minus10_12A	lacO3	0.534184338715215	0.52076633887129
lacOscram	minus35_30C_33T	minus10cons	lacO1	2.56045122491534	2.1532464539137
lacO1	minus35_30C_33T	minus10_12G	O1_rightSym	0.621726312940659	0.462794274029959
lacO2	minus35_31A_32C	minus10_12A	O3_rightSym	1.0447180083758	0.950983348668119
lacOscram	minus35_31A_32C	minus10cons	lacOsym	2.53449221754343	9.34174339048863
O2_rightSym	minus35_33T	minus10_7A	lacO3	1.51420971748668	1.36632116886529
O2_rightSym	minus35_30C_33T	minus10cons	lacO3	1.02730739984701	1.24855839671801
lacO2	minus35_31A_32C	minus10_12G	lacO1	0.656574122155705	0.705678861105968
O2_rightSym	minus35_30C_33T	minus10cons	lacO2	0.993691784699488	1.07446093748055
O1_rightSym	minus35_31A_32C	minus10_12G	lacOsym	1.8111804577468	1.52133838415045
lacO2	minus35cons	minus10cons	O2_rightSym	38.8567522410402	36.1981040013557
lacO2	minus35_33T	minus10_12A	O2_rightSym	1.6584763157	1.52695686084281
lacO1	minus35_30C_33T	minus10_12G	O3_leftSym	1.89147231712107	0.89060627702332
lacO1	minus35_30C_33T	minus10_7A	O2_rightSym	0.697277550257746	0.880389580301656
O1_rightSym	minus35_31A_32C	minus10_12G	lacO2	1.7301221966891	1.46774093972215
lacO2	minus35_30C_33T	minus10_12A	lacO1	0.649616095848554	0.527435216421918
lacO2	minus35cons	minus10_7A	O2_leftSym	3.78237674961789	3.64437383574425
O3_leftSym	minus35cons	minus10cons	O2_rightSym	20.34771079348	18.1680542703467
lacOscram	minus35_30C_33T	minus10cons	O2_rightSym	3.73781864686803	2.61591555250701
lacOscram	minus35_31A_32C	minus10_12A	lacO2	0.783667135201227	0.661869945168197
lacOscram	minus35_33T	minus10_7A	O2_rightSym	1.37746725226212	0.952821435901411
lacO3	minus35cons	minus10_12G	lacOsym	3.5951647202742	7.9659992195816
O2_rightSym	minus35_30C_33T	minus10_7A	lacOscram	1.23659456211426	0.704479645716232
O2_rightSym	minus35_33T	minus10_12A	O3_rightSym	1.34476381071509	0.923289640452767
O2_leftSym	minus35_33T	minus10_7A	O2_leftSym	2.16569192635831	1.38312636831934
O1_rightSym	minus35_31A_32C	minus10_12G	O2_leftSym	2.96345723671335	2.81957227501332
lacO2	minus35_30C_33T	minus10cons	lacO1	1.2079693814813	1.75139021068763
O2_rightSym	minus35_33T	minus10_12A	O2_leftSym	1.03516419590391	0.870293626157593
O1_rightSym	minus35_30C_33T	minus10cons	lacOsym	0.875824048160451	1.07599188184753
O2_rightSym	minus35_31A_32C	minus10_7A	lacOscram	1.47910189742767	1.46467613870031
O1_rightSym	minus35_31A_32C	minus10_7A	O1_rightSym	0.771681321989545	0.506226574420533
O1_rightSym	minus35cons	minus10_7A	O3_rightSym	4.88071558710894	4.36031970664921
lacO3	minus35cons	minus10_7A	lacO2	2.48818299342344	1.886218464737
lacOsym	minus35cons	minus10_7A	lacOsym	0.688241531947922	0.612885713406743
lacOscram	minus35_33T	minus10cons	O3_rightSym	6.49106603546034	4.58288395491955
lacO2	minus35cons	minus10_12A	O1_rightSym	3.63067873585424	2.76416024720344
O2_rightSym	minus35_30C_33T	minus10cons	lacO1	1.83885517348068	1.39219658062696
lacO3	minus35_33T	minus10_12A	lacOscram	0.824808378849963	0.669607397214896
lacOscram	minus35_31A_32C	minus10_7A	O2_rightSym	1.06767728709643	0.852173379492397
O3_rightSym	minus35cons	minus10_12G	lacOscram	2.83641571182873	1.95452809380559
O2_leftSym	minus35cons	minus10_12G	lacO2	5.51609321816931	4.42812836870313
lacOscram	minus35_30C_33T	minus10_7A	O3_rightSym	1.08265965823958	0.813997026188717
