"{0.8967177651917668, 1.09824590108708}","{0.9910179797531268, 0.74777183600713}"
"{5.86404952616792, 9.30501655677092}","{20.194932447007854, 42.6408138134481}"
"{0.9107952936944448, 0.360406333502156}","{0.9402162133174374, 0.280574661806646}"
"{0.898415653557802, 0.708953508009125}","{0.953429275511976, 1.0970749152587}"
"{0.881140131235595, 0.859732769905297}","{0.8868760229485133, 0.664147283329171}"
"{9.123361616922988, 3.5223783315123}","{9.123725725707773, 2.91983349873948}"
"{0.9408686631629978, 2.45384104929448}","{0.9600956860232451, 2.08358973210859}"
"{0.9568273401700237, 0.63063001439603}","{0.960762496686479, 0.670234057604614}"
"{0.9603806149882718, 1.03646763128702}","{0.9604074099073291, 0.873114533813616}"
"{1.537639224361412, 1.61333798544628}","{1.537920818028483, 1.16110024136903}"
"{1.9019116358354178, 1.58873185960477}","{1.9538053242646451, 1.78834044256}"
"{0.8916785431719115, 0.891406804962574}","{0.8916838410984858, 0.703098305747905}"
"{0.9608647228810695, 0.444511949569458}","{0.9608924795698032, 0.360830955645197}"
"{0.8916831329216035, 1.39770912954763}","{0.8916850600284729, 0.926577708395878}"
"{0.8904438247781583, 0.593057214312413}","{0.9296528148483859, 0.632976735088412}"
"{0.908350960164945, 0.902918000726775}","{0.9083633964836499, 0.841642877246592}"
"{1.122291947955394, 1.380519093788}","{1.1613427351116568, 1.22412684880716}"
"{2.2248397957362207, 3.0563817474363}","{3.4968483972308295, 4.90022323509186}"
"{0.8831313348082083, 0.591066821271281}","{0.8935057425047653, 0.537240951719398}"
"{0.8933252426464231, 0.719899870168682}","{0.9066027038009684, 0.580371869845554}"
"{0.8921626571390288, 11.289691904744}","{1.0512974189068447, 6.16910133853936}"
"{0.9659425823821812, 0.856658720851611}","{1.308795227833706, 1.81342148192617}"
"{0.8834981946354113, 0.621949356455266}","{0.8837122458680442, 0.605217712557201}"
"{0.9015803956083509, 1.08173096625529}","{1.2161218710166675, 0.929722317537947}"
